GeneID_mouse	GeneSymbol_mouse	GeneID_human	GeneSymbol_human
ENSMUSG00000029345	Tfip11	ENSG00000100109	TFIP11
ENSMUSG00000075552	Cyp3a41b	ENSG00000106258	CYP3A5
ENSMUSG00000075552	Cyp3a41b	ENSG00000282301	CYP3A7-CYP3A51P
ENSMUSG00000075552	Cyp3a41b	ENSG00000160870	CYP3A7
ENSMUSG00000075552	Cyp3a41b	ENSG00000160868	CYP3A4
ENSMUSG00000050856	Atp5k	ENSG00000169020	ATP5ME
ENSMUSG00000031077	Fadd	ENSG00000168040	FADD
ENSMUSG00000066979	Bub3	ENSG00000154473	BUB3
ENSMUSG00000001143	Lman2l	ENSG00000114988	LMAN2L
ENSMUSG00000090264	Eif4ebp3	ENSG00000243056	EIF4EBP3
ENSMUSG00000029554	Mad1l1	ENSG00000002822	MAD1L1
ENSMUSG00000002393	Nr2f6	ENSG00000160113	NR2F6
ENSMUSG00000042208	0610010F05Rik	ENSG00000162929	KIAA1841
ENSMUSG00000001924	Uba1	ENSG00000130985	UBA1
ENSMUSG00000046794	Ppp1r3b	ENSG00000173281	PPP1R3B
ENSMUSG00000021779	Thrb	ENSG00000151090	THRB
ENSMUSG00000073002	Vamp5	ENSG00000168899	VAMP5
ENSMUSG00000024563	Smad2	ENSG00000175387	SMAD2
ENSMUSG00000050043	Tmx2	ENSG00000213593	TMX2
ENSMUSG00000020834	Dhrs13	ENSG00000167536	DHRS13
ENSMUSG00000030276	Ttll3	ENSG00000214021	TTLL3
ENSMUSG00000030276	Ttll3	ENSG00000250151	ARPC4-TTLL3
ENSMUSG00000020346	Mgat1	ENSG00000131446	MGAT1
ENSMUSG00000036887	C1qa	ENSG00000173372	C1QA
ENSMUSG00000025736	Jmjd8	ENSG00000161999	JMJD8
ENSMUSG00000022671	Mzt2	ENSG00000173272	MZT2A
ENSMUSG00000040888	Gfer	ENSG00000127554	GFER
ENSMUSG00000044857	Lemd2	ENSG00000161904	LEMD2
ENSMUSG00000029560	Snx8	ENSG00000106266	SNX8
ENSMUSG00000075592	Nynrin	ENSG00000205978	NYNRIN
ENSMUSG00000046056	Sbsn	ENSG00000189001	SBSN
ENSMUSG00000004364	Cul3	ENSG00000036257	CUL3
ENSMUSG00000031842	Pde4c	ENSG00000285188	
ENSMUSG00000031842	Pde4c	ENSG00000105650	PDE4C
ENSMUSG00000032562	Gnai2	ENSG00000114353	GNAI2
ENSMUSG00000026786	Apbb1ip	ENSG00000077420	APBB1IP
ENSMUSG00000030272	Camk1	ENSG00000134072	CAMK1
ENSMUSG00000015950	Ncf1	ENSG00000158517	NCF1
ENSMUSG00000027357	Crls1	ENSG00000088766	CRLS1
ENSMUSG00000020289	Nprl3	ENSG00000103148	NPRL3
ENSMUSG00000025245	Lztfl1	ENSG00000163818	LZTFL1
ENSMUSG00000049086	Bmyc	ENSG00000136997	MYC
ENSMUSG00000034354	Mtmr3	ENSG00000100330	MTMR3
ENSMUSG00000020463	Ppp4r3b	ENSG00000275052	PPP4R3B
ENSMUSG00000068417	Pnp2	ENSG00000198805	PNP
ENSMUSG00000074211	Sdhaf1	ENSG00000205138	SDHAF1
ENSMUSG00000040822	1700123O20Rik	ENSG00000179933	C14orf119
ENSMUSG00000004341	Gpx6	ENSG00000198704	GPX6
ENSMUSG00000037972	Snn	ENSG00000184602	SNN
ENSMUSG00000021003	Galc	ENSG00000054983	GALC
ENSMUSG00000038866	Zcchc2	ENSG00000141664	ZCCHC2
ENSMUSG00000051306	Usp42	ENSG00000106346	USP42
ENSMUSG00000049109	Themis	ENSG00000172673	THEMIS
ENSMUSG00000018387	Shroom1	ENSG00000164403	SHROOM1
ENSMUSG00000021624	Cd180	ENSG00000134061	CD180
ENSMUSG00000029762	Akr1b8	ENSG00000198074	AKR1B10
ENSMUSG00000021336	Slc17a4	ENSG00000146039	SLC17A4
ENSMUSG00000035992	Fnip1	ENSG00000217128	FNIP1
ENSMUSG00000069805	Fbp1	ENSG00000165140	FBP1
ENSMUSG00000034075	Zdhhc5	ENSG00000156599	ZDHHC5
ENSMUSG00000007815	Rhoa	ENSG00000067560	RHOA
ENSMUSG00000031443	F7	ENSG00000057593	F7
ENSMUSG00000025950	Idh1	ENSG00000138413	IDH1
ENSMUSG00000072568	Lratd2	ENSG00000168672	LRATD2
ENSMUSG00000026113	Inpp4a	ENSG00000040933	INPP4A
ENSMUSG00000051984	Sec31b	ENSG00000075826	SEC31B
ENSMUSG00000055692	Tmem191c	ENSG00000206140	TMEM191C
ENSMUSG00000033623	Pcgf3	ENSG00000185619	PCGF3
ENSMUSG00000053414	Hunk	ENSG00000142149	HUNK
ENSMUSG00000025512	Chid1	ENSG00000177830	CHID1
ENSMUSG00000059674	Cdh24	ENSG00000139880	CDH24
ENSMUSG00000048930	Tada3	ENSG00000171148	TADA3
ENSMUSG00000026657	Frmd4a	ENSG00000151474	FRMD4A
ENSMUSG00000029916	Agk	ENSG00000006530	AGK
ENSMUSG00000079610	Ankrd39	ENSG00000213337	ANKRD39
ENSMUSG00000018848	Rars	ENSG00000113643	RARS
ENSMUSG00000002546	Golga2	ENSG00000261739	GOLGA8S
ENSMUSG00000002546	Golga2	ENSG00000153684	GOLGA8F
ENSMUSG00000000296	Tpd52l1	ENSG00000111907	TPD52L1
ENSMUSG00000031834	Pik3r2	ENSG00000268173	
ENSMUSG00000031834	Pik3r2	ENSG00000105647	PIK3R2
ENSMUSG00000005514	Por	ENSG00000127948	POR
ENSMUSG00000011832	Evi5l	ENSG00000142459	EVI5L
ENSMUSG00000005803	Sqor	ENSG00000137767	SQOR
ENSMUSG00000005803	Sqor	ENSG00000260170	
ENSMUSG00000066037	Hnrnpr	ENSG00000125944	HNRNPR
ENSMUSG00000034858	Fam214a	ENSG00000047346	FAM214A
ENSMUSG00000002948	Map2k7	ENSG00000076984	MAP2K7
ENSMUSG00000074240	Cib3	ENSG00000141977	CIB3
ENSMUSG00000020283	Pex13	ENSG00000162928	PEX13
ENSMUSG00000056035	Cyp3a11	ENSG00000106258	CYP3A5
ENSMUSG00000056035	Cyp3a11	ENSG00000282301	CYP3A7-CYP3A51P
ENSMUSG00000056035	Cyp3a11	ENSG00000160870	CYP3A7
ENSMUSG00000056035	Cyp3a11	ENSG00000160868	CYP3A4
ENSMUSG00000036890	Gtdc1	ENSG00000121964	GTDC1
ENSMUSG00000022544	Eef2kmt	ENSG00000186523	FAM86B1
ENSMUSG00000022544	Eef2kmt	ENSG00000158483	FAM86C1
ENSMUSG00000022544	Eef2kmt	ENSG00000145002	FAM86B2
ENSMUSG00000029727	Cyp3a13	ENSG00000106258	CYP3A5
ENSMUSG00000029727	Cyp3a13	ENSG00000282301	CYP3A7-CYP3A51P
ENSMUSG00000029727	Cyp3a13	ENSG00000160870	CYP3A7
ENSMUSG00000029727	Cyp3a13	ENSG00000160868	CYP3A4
ENSMUSG00000021969	Zdhhc20	ENSG00000180776	ZDHHC20
ENSMUSG00000021182	Ccdc88c	ENSG00000015133	CCDC88C
ENSMUSG00000029048	Rer1	ENSG00000157916	RER1
ENSMUSG00000037110	Ralgapa2	ENSG00000188559	RALGAPA2
ENSMUSG00000044496	2510039O18Rik	ENSG00000116685	KIAA2013
ENSMUSG00000000628	Hk2	ENSG00000159399	HK2
ENSMUSG00000022089	Bin3	ENSG00000147439	BIN3
ENSMUSG00000042389	Tsen2	ENSG00000154743	TSEN2
ENSMUSG00000024965	Fermt3	ENSG00000149781	FERMT3
ENSMUSG00000004565	Pnpla6	ENSG00000032444	PNPLA6
ENSMUSG00000040813	Tex264	ENSG00000164081	TEX264
ENSMUSG00000029610	Aimp2	ENSG00000106305	AIMP2
ENSMUSG00000026179	Pnkd	ENSG00000127838	PNKD
ENSMUSG00000026126	Ptpn18	ENSG00000072135	PTPN18
ENSMUSG00000039646	Vasn	ENSG00000168140	VASN
ENSMUSG00000039529	Atp8b1	ENSG00000081923	ATP8B1
ENSMUSG00000002910	Arrdc2	ENSG00000105643	ARRDC2
ENSMUSG00000094724	Rnaset2b	ENSG00000249141	
ENSMUSG00000094724	Rnaset2b	ENSG00000026297	RNASET2
ENSMUSG00000061613	U2af1	ENSG00000275895	U2AF1L5
ENSMUSG00000053460	Ggcx	ENSG00000115486	GGCX
ENSMUSG00000020271	Fbxw11	ENSG00000072803	FBXW11
ENSMUSG00000022025	Cnmd	ENSG00000136110	CNMD
ENSMUSG00000044367	Slc16a13	ENSG00000174327	SLC16A13
ENSMUSG00000036943	Rab8b	ENSG00000166128	RAB8B
ENSMUSG00000017950	Hnf4a	ENSG00000101076	HNF4A
ENSMUSG00000024067	Dpy30	ENSG00000162961	DPY30
ENSMUSG00000025492	Ifitm3	ENSG00000185201	IFITM2
ENSMUSG00000025492	Ifitm3	ENSG00000185885	IFITM1
ENSMUSG00000025492	Ifitm3	ENSG00000142089	IFITM3
ENSMUSG00000056153	Socs6	ENSG00000170677	SOCS6
ENSMUSG00000044991	Shld1	ENSG00000171984	SHLD1
ENSMUSG00000034445	Cyb561a3	ENSG00000162144	CYB561A3
ENSMUSG00000032123	Dpagt1	ENSG00000172269	DPAGT1
ENSMUSG00000003778	Brd8	ENSG00000112983	BRD8
ENSMUSG00000017485	Top2b	ENSG00000077097	TOP2B
ENSMUSG00000036216	Leap2	ENSG00000164406	LEAP2
ENSMUSG00000044042	Fmn1	ENSG00000248905	FMN1
ENSMUSG00000020362	Cnot6	ENSG00000113300	CNOT6
ENSMUSG00000050323	Ndufaf6	ENSG00000156170	NDUFAF6
ENSMUSG00000036781	Rps27l	ENSG00000185088	RPS27L
ENSMUSG00000054422	Fabp1	ENSG00000163586	FABP1
ENSMUSG00000000439	Mkrn2	ENSG00000075975	MKRN2
ENSMUSG00000021555	Naa35	ENSG00000135040	NAA35
ENSMUSG00000013701	Timm23	ENSG00000265354	TIMM23
ENSMUSG00000027080	Med19	ENSG00000156603	MED19
ENSMUSG00000116988	Gm49673	ENSG00000249141	
ENSMUSG00000116988	Gm49673	ENSG00000026297	RNASET2
ENSMUSG00000021273	Fdft1	ENSG00000079459	FDFT1
ENSMUSG00000023832	Acat2	ENSG00000120437	ACAT2
ENSMUSG00000038286	Bphl	ENSG00000137274	BPHL
ENSMUSG00000024740	Ddb1	ENSG00000167986	DDB1
ENSMUSG00000020282	Rhbdf1	ENSG00000007384	RHBDF1
ENSMUSG00000020538	Srebf1	ENSG00000072310	SREBF1
ENSMUSG00000020783	Ncbp3	ENSG00000074356	NCBP3
ENSMUSG00000071078	Nr2c2ap	ENSG00000184162	NR2C2AP
ENSMUSG00000005802	Slc30a4	ENSG00000104154	SLC30A4
ENSMUSG00000050732	Vamp8	ENSG00000118640	VAMP8
ENSMUSG00000059713	Rcan3	ENSG00000117602	RCAN3
ENSMUSG00000021458	Aopep	ENSG00000148120	AOPEP
ENSMUSG00000057181	5730455P16Rik	ENSG00000108666	C17orf75
ENSMUSG00000031527	Eri1	ENSG00000104626	ERI1
ENSMUSG00000021102	Glrx5	ENSG00000182512	GLRX5
ENSMUSG00000022009	Nufip1	ENSG00000083635	NUFIP1
ENSMUSG00000030451	Herc2	ENSG00000128731	HERC2
ENSMUSG00000024778	Fas	ENSG00000026103	FAS
ENSMUSG00000006299	Aamp	ENSG00000127837	AAMP
ENSMUSG00000114763	Gm49354	ENSG00000083223	TUT7
ENSMUSG00000089774	Slc5a3	ENSG00000198743	SLC5A3
ENSMUSG00000022216	Psme1	ENSG00000092010	PSME1
ENSMUSG00000025059	Gk	ENSG00000198814	GK
ENSMUSG00000031016	Wee1	ENSG00000166483	WEE1
ENSMUSG00000066150	Slc31a1	ENSG00000136868	SLC31A1
ENSMUSG00000031029	Eif3f	ENSG00000175390	EIF3F
ENSMUSG00000036339	Tmem260	ENSG00000070269	TMEM260
ENSMUSG00000069808	Fam57a	ENSG00000167695	TLCD3A
ENSMUSG00000038224	Serpinf2	ENSG00000167711	SERPINF2
ENSMUSG00000013539	Tango2	ENSG00000183597	TANGO2
ENSMUSG00000052957	Gas1	ENSG00000180447	GAS1
ENSMUSG00000023186	Vwa5a	ENSG00000110002	VWA5A
ENSMUSG00000005378	Bud23	ENSG00000071462	BUD23
ENSMUSG00000030934	Oat	ENSG00000065154	OAT
ENSMUSG00000033417	Cacul1	ENSG00000151893	CACUL1
ENSMUSG00000019055	Plod1	ENSG00000083444	PLOD1
ENSMUSG00000031601	Cnot7	ENSG00000198791	CNOT7
ENSMUSG00000032126	Hmbs	ENSG00000256269	HMBS
ENSMUSG00000020275	Rel	ENSG00000162924	REL
ENSMUSG00000026192	Atic	ENSG00000138363	ATIC
ENSMUSG00000021701	Plk2	ENSG00000145632	PLK2
ENSMUSG00000034160	Ogt	ENSG00000147162	OGT
ENSMUSG00000028461	Ccdc107	ENSG00000159884	CCDC107
ENSMUSG00000036570	Fxyd1	ENSG00000266964	FXYD1
ENSMUSG00000002274	Metrn	ENSG00000103260	METRN
ENSMUSG00000072115	Ang	ENSG00000214274	ANG
ENSMUSG00000042644	Itpr3	ENSG00000096433	ITPR3
ENSMUSG00000101645	Gm28635	ENSG00000198561	CTNND1
ENSMUSG00000063856	Gpx1	ENSG00000233276	GPX1
ENSMUSG00000038500	Prr3	ENSG00000204576	PRR3
ENSMUSG00000058756	Thra	ENSG00000126351	THRA
ENSMUSG00000008859	Rala	ENSG00000006451	RALA
ENSMUSG00000024527	Afg3l2	ENSG00000141385	AFG3L2
ENSMUSG00000062480	Acat3	ENSG00000120437	ACAT2
ENSMUSG00000022890	Atp5j	ENSG00000154723	ATP5PF
ENSMUSG00000022003	Slc25a30	ENSG00000174032	SLC25A30
ENSMUSG00000021606	Ndufs6	ENSG00000145494	NDUFS6
ENSMUSG00000042506	Usp22	ENSG00000124422	USP22
ENSMUSG00000021222	Dcaf4	ENSG00000176566	DCAF4L2
ENSMUSG00000069135	Fgfr1op	ENSG00000213066	FGFR1OP
ENSMUSG00000071226	Cecr2	ENSG00000099954	CECR2
ENSMUSG00000098140	Gm26938	ENSG00000164855	TMEM184A
ENSMUSG00000035878	Hykk	ENSG00000188266	HYKK
ENSMUSG00000037999	Arap2	ENSG00000047365	ARAP2
ENSMUSG00000024750	Zfand5	ENSG00000107372	ZFAND5
ENSMUSG00000043110	Lrrn4	ENSG00000125872	LRRN4
ENSMUSG00000026353	Ubxn4	ENSG00000144224	UBXN4
ENSMUSG00000030691	Fchsd2	ENSG00000137478	FCHSD2
ENSMUSG00000048482	Bdnf	ENSG00000176697	BDNF
ENSMUSG00000025241	Fyco1	ENSG00000163820	FYCO1
ENSMUSG00000075304	Sp5	ENSG00000204335	SP5
ENSMUSG00000071451	Psmg4	ENSG00000180822	PSMG4
ENSMUSG00000040697	Dnajc16	ENSG00000116138	DNAJC16
ENSMUSG00000055334	Snupn	ENSG00000169371	SNUPN
ENSMUSG00000049532	Sall2	ENSG00000165821	SALL2
ENSMUSG00000048486	Fitm2	ENSG00000197296	FITM2
ENSMUSG00000048537	Phldb1	ENSG00000019144	PHLDB1
ENSMUSG00000109510	Gm42417	ENSG00000163126	ANKRD23
ENSMUSG00000079033	Mef2b	ENSG00000213999	MEF2B
ENSMUSG00000001604	Tcea3	ENSG00000204219	TCEA3
ENSMUSG00000026172	Bcs1l	ENSG00000074582	BCS1L
ENSMUSG00000020849	Ywhae	ENSG00000108953	YWHAE
ENSMUSG00000041645	Ddx24	ENSG00000089737	DDX24
ENSMUSG00000028458	Tesk1	ENSG00000107140	TESK1
ENSMUSG00000031349	Nsdhl	ENSG00000147383	NSDHL
ENSMUSG00000039405	Prss23	ENSG00000150687	PRSS23
ENSMUSG00000025982	Sf3b1	ENSG00000115524	SF3B1
ENSMUSG00000027261	Hao1	ENSG00000101323	HAO1
ENSMUSG00000059208	Hnrnpm	ENSG00000099783	HNRNPM
ENSMUSG00000018931	Natd1	ENSG00000274180	NATD1
ENSMUSG00000027210	Meis2	ENSG00000134138	MEIS2
ENSMUSG00000030281	Il17rc	ENSG00000163702	IL17RC
ENSMUSG00000026112	Coa5	ENSG00000183513	COA5
ENSMUSG00000039680	Mrps6	ENSG00000243927	MRPS6
ENSMUSG00000040097	Flywch1	ENSG00000059122	FLYWCH1
ENSMUSG00000029840	Mtpn	ENSG00000105887	MTPN
ENSMUSG00000020196	Cabin1	ENSG00000099991	CABIN1
ENSMUSG00000030091	Nup210	ENSG00000132182	NUP210
ENSMUSG00000034723	Tmx4	ENSG00000125827	TMX4
ENSMUSG00000027739	Rab33b	ENSG00000172007	RAB33B
ENSMUSG00000041891	Lman1	ENSG00000074695	LMAN1
ENSMUSG00000038685	Rtel1	ENSG00000258366	RTEL1
ENSMUSG00000038685	Rtel1	ENSG00000026036	RTEL1-TNFRSF6B
ENSMUSG00000096546	Smlr1	ENSG00000256162	SMLR1
ENSMUSG00000042328	Hps4	ENSG00000100099	HPS4
ENSMUSG00000017210	Med24	ENSG00000008838	MED24
ENSMUSG00000006050	Sra1	ENSG00000213523	SRA1
ENSMUSG00000037007	Zfp113	ENSG00000178665	ZNF713
ENSMUSG00000039197	Adk	ENSG00000156110	ADK
ENSMUSG00000056131	Pgm3	ENSG00000013375	PGM3
ENSMUSG00000040659	Efhd2	ENSG00000142634	EFHD2
ENSMUSG00000038072	Galnt11	ENSG00000178234	GALNT11
ENSMUSG00000004952	Rasa4	ENSG00000170667	RASA4B
ENSMUSG00000004952	Rasa4	ENSG00000270249	
ENSMUSG00000004952	Rasa4	ENSG00000105808	RASA4
ENSMUSG00000022195	6030458C11Rik	ENSG00000082213	C5orf22
ENSMUSG00000022223	Sdr39u1	ENSG00000100445	SDR39U1
ENSMUSG00000029780	Nt5c3	ENSG00000122643	NT5C3A
ENSMUSG00000026317	Cln8	ENSG00000182372	CLN8
ENSMUSG00000040488	Ltbp4	ENSG00000090006	LTBP4
ENSMUSG00000028018	Gstcd	ENSG00000138780	GSTCD
ENSMUSG00000023980	Taf8	ENSG00000137413	TAF8
ENSMUSG00000027479	Mapre1	ENSG00000101367	MAPRE1
ENSMUSG00000032294	Pkm	ENSG00000067225	PKM
ENSMUSG00000021461	Fancc	ENSG00000158169	FANCC
ENSMUSG00000000441	Raf1	ENSG00000132155	RAF1
ENSMUSG00000025264	Tsr2	ENSG00000158526	TSR2
ENSMUSG00000004667	Polr2e	ENSG00000099817	POLR2E
ENSMUSG00000031539	Ap3m2	ENSG00000070718	AP3M2
ENSMUSG00000029918	Mrps33	ENSG00000090263	MRPS33
ENSMUSG00000018846	Pank3	ENSG00000120137	PANK3
ENSMUSG00000028459	Cd72	ENSG00000137101	CD72
ENSMUSG00000040738	Ints8	ENSG00000164941	INTS8
ENSMUSG00000074890	Lcmt2	ENSG00000168806	LCMT2
ENSMUSG00000036188	Ankmy2	ENSG00000106524	ANKMY2
ENSMUSG00000029313	Aff1	ENSG00000172493	AFF1
ENSMUSG00000078517	Emc1	ENSG00000127463	EMC1
ENSMUSG00000094336	Gm13693	ENSG00000163510	CWC22
ENSMUSG00000030271	Ogg1	ENSG00000114026	OGG1
ENSMUSG00000011179	Odc1	ENSG00000115758	ODC1
ENSMUSG00000047368	Abhd17b	ENSG00000107362	ABHD17B
ENSMUSG00000115338	Pnp	ENSG00000198805	PNP
ENSMUSG00000043909	Trp53bp1	ENSG00000067369	TP53BP1
ENSMUSG00000032040	Dcps	ENSG00000110063	DCPS
ENSMUSG00000024695	Zfp91	ENSG00000186660	ZFP91
ENSMUSG00000024695	Zfp91	ENSG00000255073	ZFP91-CNTF
ENSMUSG00000039929	Urb1	ENSG00000142207	URB1
ENSMUSG00000034218	Atm	ENSG00000149311	ATM
ENSMUSG00000038628	Polr3k	ENSG00000161980	POLR3K
ENSMUSG00000063273	Naa15	ENSG00000164134	NAA15
ENSMUSG00000040560	Wdr7	ENSG00000091157	WDR7
ENSMUSG00000036613	Eipr1	ENSG00000032389	EIPR1
ENSMUSG00000027263	Tubgcp4	ENSG00000137822	TUBGCP4
ENSMUSG00000054065	Pkp3	ENSG00000184363	PKP3
ENSMUSG00000038844	Kif16b	ENSG00000089177	KIF16B
ENSMUSG00000050777	Tmem37	ENSG00000171227	TMEM37
ENSMUSG00000060703	Cd302	ENSG00000241399	CD302
ENSMUSG00000019989	Enpp3	ENSG00000154269	ENPP3
ENSMUSG00000013629	Cad	ENSG00000084774	CAD
ENSMUSG00000043153	Crppa	ENSG00000214960	CRPPA
ENSMUSG00000017491	Rarb	ENSG00000077092	RARB
ENSMUSG00000038368	Focad	ENSG00000188352	FOCAD
ENSMUSG00000034449	Dhrs11	ENSG00000278535	DHRS11
ENSMUSG00000039395	Mreg	ENSG00000118242	MREG
ENSMUSG00000063931	Pepd	ENSG00000124299	PEPD
ENSMUSG00000004535	Tax1bp1	ENSG00000106052	TAX1BP1
ENSMUSG00000036856	Wnt4	ENSG00000162552	WNT4
ENSMUSG00000032946	Rasgrp2	ENSG00000068831	RASGRP2
ENSMUSG00000032171	Pin1	ENSG00000127445	PIN1
ENSMUSG00000021147	Wdr37	ENSG00000047056	WDR37
ENSMUSG00000025498	Irf7	ENSG00000185507	IRF7
ENSMUSG00000029925	Tbxas1	ENSG00000059377	TBXAS1
ENSMUSG00000033712	Ccar2	ENSG00000158941	CCAR2
ENSMUSG00000027583	Zbtb46	ENSG00000130584	ZBTB46
ENSMUSG00000020439	Smtn	ENSG00000183963	SMTN
ENSMUSG00000048960	Prex2	ENSG00000046889	PREX2
ENSMUSG00000028211	Trp53inp1	ENSG00000164938	TP53INP1
ENSMUSG00000026021	Sumo1	ENSG00000116030	SUMO1
ENSMUSG00000029207	Apbb2	ENSG00000163697	APBB2
ENSMUSG00000035399	Oser1	ENSG00000132823	OSER1
ENSMUSG00000026773	Pfkfb3	ENSG00000170525	PFKFB3
ENSMUSG00000028497	Hacd4	ENSG00000188921	HACD4
ENSMUSG00000039886	Tmem120a	ENSG00000189077	TMEM120A
ENSMUSG00000031969	Acad8	ENSG00000151498	ACAD8
ENSMUSG00000071657	Bscl2	ENSG00000168000	BSCL2
ENSMUSG00000007867	Ift43	ENSG00000119650	IFT43
ENSMUSG00000039048	Foxred1	ENSG00000110074	FOXRED1
ENSMUSG00000024370	Cdc23	ENSG00000094880	CDC23
ENSMUSG00000032018	Sc5d	ENSG00000109929	SC5D
ENSMUSG00000060862	Zbtb40	ENSG00000184677	ZBTB40
ENSMUSG00000061292	Cyp3a59	ENSG00000106258	CYP3A5
ENSMUSG00000061292	Cyp3a59	ENSG00000282301	CYP3A7-CYP3A51P
ENSMUSG00000061292	Cyp3a59	ENSG00000160870	CYP3A7
ENSMUSG00000061292	Cyp3a59	ENSG00000160868	CYP3A4
ENSMUSG00000029911	Ssbp1	ENSG00000106028	SSBP1
ENSMUSG00000038212	Mfsd14b	ENSG00000196312	MFSD14C
ENSMUSG00000038212	Mfsd14b	ENSG00000148110	MFSD14B
ENSMUSG00000040661	Rad54l2	ENSG00000164080	RAD54L2
ENSMUSG00000022760	Thap7	ENSG00000184436	THAP7
ENSMUSG00000075054	Yae1d1	ENSG00000241127	YAE1
ENSMUSG00000034173	Zbed5	ENSG00000232040	ZBED9
ENSMUSG00000056234	Ncoa4	ENSG00000266412	NCOA4
ENSMUSG00000024963	Dnajc4	ENSG00000110011	DNAJC4
ENSMUSG00000047420	Fam180a	ENSG00000189320	FAM180A
ENSMUSG00000072623	Zfp9	ENSG00000175395	ZNF25
ENSMUSG00000026977	March7	ENSG00000136536	MARCH7
ENSMUSG00000031015	Swap70	ENSG00000133789	SWAP70
ENSMUSG00000063683	Glyat	ENSG00000149124	GLYAT
ENSMUSG00000034211	Mrps17	ENSG00000249773	
ENSMUSG00000034211	Mrps17	ENSG00000239789	MRPS17
ENSMUSG00000029056	Pank4	ENSG00000157881	PANK4
ENSMUSG00000020621	Rdh14	ENSG00000240857	RDH14
ENSMUSG00000036435	Exoc1	ENSG00000090989	EXOC1
ENSMUSG00000002345	Borcs8	ENSG00000254901	BORCS8
ENSMUSG00000002345	Borcs8	ENSG00000064489	BORCS8-MEF2B
ENSMUSG00000042680	Garem1	ENSG00000141441	GAREM1
ENSMUSG00000031533	Mrps31	ENSG00000102738	MRPS31
ENSMUSG00000059534	Uqcr10	ENSG00000184076	UQCR10
ENSMUSG00000026121	Sema4c	ENSG00000168758	SEMA4C
ENSMUSG00000058921	Slc10a5	ENSG00000253598	SLC10A5
ENSMUSG00000118491	Zfp91	ENSG00000186660	ZFP91
ENSMUSG00000118491	Zfp91	ENSG00000255073	ZFP91-CNTF
ENSMUSG00000070420	Zscan25	ENSG00000197037	ZSCAN25
ENSMUSG00000037152	Ndufc1	ENSG00000109390	NDUFC1
ENSMUSG00000037408	Cnnm4	ENSG00000158158	CNNM4
ENSMUSG00000032293	Ireb2	ENSG00000136381	IREB2
ENSMUSG00000021846	Peli2	ENSG00000139946	PELI2
ENSMUSG00000043924	Ncmap	ENSG00000184454	NCMAP
ENSMUSG00000024208	Uqcc2	ENSG00000137288	UQCC2
ENSMUSG00000060126	Tpt1	ENSG00000133112	TPT1
ENSMUSG00000047767	Atg16l2	ENSG00000168010	ATG16L2
ENSMUSG00000038507	Parp12	ENSG00000059378	PARP12
ENSMUSG00000032098	Treh	ENSG00000118094	TREH
ENSMUSG00000025151	Maged1	ENSG00000179222	MAGED1
ENSMUSG00000027259	Adal	ENSG00000168803	ADAL
ENSMUSG00000051232	Tmem199	ENSG00000244045	TMEM199
ENSMUSG00000022500	Litaf	ENSG00000189067	LITAF
ENSMUSG00000053062	Jam2	ENSG00000154721	JAM2
ENSMUSG00000031075	Ano1	ENSG00000131620	ANO1
ENSMUSG00000025491	Ifitm1	ENSG00000185201	IFITM2
ENSMUSG00000025491	Ifitm1	ENSG00000185885	IFITM1
ENSMUSG00000025491	Ifitm1	ENSG00000142089	IFITM3
ENSMUSG00000027742	Cog6	ENSG00000133103	COG6
ENSMUSG00000024137	E4f1	ENSG00000167967	E4F1
ENSMUSG00000035476	Tab3	ENSG00000157625	TAB3
ENSMUSG00000051169	Rpusd3	ENSG00000156990	RPUSD3
ENSMUSG00000095687	Rnaset2a	ENSG00000249141	
ENSMUSG00000095687	Rnaset2a	ENSG00000026297	RNASET2
ENSMUSG00000031109	Enox2	ENSG00000165675	ENOX2
ENSMUSG00000018965	Ywhah	ENSG00000128245	YWHAH
ENSMUSG00000026980	Ly75	ENSG00000054219	LY75
ENSMUSG00000026980	Ly75	ENSG00000248672	LY75-CD302
ENSMUSG00000044502	Bod1	ENSG00000228075	BOD1L2
ENSMUSG00000020272	Stk10	ENSG00000072786	STK10
ENSMUSG00000028013	Ppa2	ENSG00000138777	PPA2
ENSMUSG00000022185	Acin1	ENSG00000100813	ACIN1
ENSMUSG00000029790	Cep41	ENSG00000106477	CEP41
ENSMUSG00000025217	Btrc	ENSG00000166167	BTRC
ENSMUSG00000035547	Capn5	ENSG00000149260	CAPN5
ENSMUSG00000069495	Epc2	ENSG00000135999	EPC2
ENSMUSG00000025421	Hdhd2	ENSG00000167220	HDHD2
ENSMUSG00000010307	Tmem86a	ENSG00000151117	TMEM86A
ENSMUSG00000020464	Pnpt1	ENSG00000138035	PNPT1
ENSMUSG00000038267	Slc22a23	ENSG00000137266	SLC22A23
ENSMUSG00000061536	Sec22c	ENSG00000093183	SEC22C
ENSMUSG00000079197	Psme2	ENSG00000100911	PSME2
ENSMUSG00000021608	Lpcat1	ENSG00000153395	LPCAT1
ENSMUSG00000096729	Gm13695	ENSG00000163510	CWC22
ENSMUSG00000030987	Stim1	ENSG00000167323	STIM1
ENSMUSG00000061461	Smim20	ENSG00000250317	SMIM20
ENSMUSG00000006941	Eif1b	ENSG00000114784	EIF1B
ENSMUSG00000024247	Pkdcc	ENSG00000162878	PKDCC
ENSMUSG00000029049	Morn1	ENSG00000116151	MORN1
