Geneid	Length	hisat2_aligned/FFA-control-1_S10.bam	hisat2_aligned/FFA-control-2_S11.bam	hisat2_aligned/FFA-control-3_S12.bam	hisat2_aligned/TEADap-inh-1_S13.bam	hisat2_aligned/TEADap-inh-2_S14.bam	hisat2_aligned/TEADsf-inh-1_S16.bam	hisat2_aligned/TEADsf-inh-2_S17.bam	hisat2_aligned/TEADsf-inh-3_S18.bam
ENSG00000236165	525	2	0	1	4	3	5	4	3
ENSG00000225548	4742	0	0	0	0	0	0	0	0
ENSG00000227549	1104	0	0	0	0	0	0	0	0
ENSG00000144596	11889	0	0	0	0	0	0	0	0
ENSG00000227260	611	0	0	0	1	0	0	2	0
ENSG00000226955	341	0	0	0	0	0	0	0	0
ENSG00000237982	485	0	0	0	0	0	0	0	0
ENSG00000236158	682	0	0	0	0	0	0	0	0
ENSG00000182247	3241	215	199	36	203	196	173	207	344
ENSG00000223587	2018	0	0	0	1	0	0	0	0
ENSG00000225386	5776	0	0	0	0	0	0	0	0
ENSG00000114166	5211	729	774	141	722	740	713	729	1259
ENSG00000287981	2188	0	0	0	0	0	0	0	0
ENSG00000187118	10533	156	138	17	140	165	128	163	281
ENSG00000232953	1928	0	1	0	0	0	0	0	0
ENSG00000227339	2786	0	0	0	0	0	0	0	0
ENSG00000255021	613	0	0	0	0	0	0	0	0
ENSG00000287140	4047	0	0	0	0	0	0	0	0
ENSG00000271192	548	0	0	0	0	0	0	0	0
ENSG00000093217	6327	300	299	54	260	306	261	334	525
ENSG00000134115	5507	0	0	0	0	0	0	0	0
ENSG00000170011	5868	443	459	90	351	407	418	433	818
ENSG00000283392	1620	0	0	0	0	0	0	0	0
ENSG00000225275	282	0	0	0	0	0	0	0	0
ENSG00000131378	4769	328	256	45	321	298	251	286	507
ENSG00000170293	1170	177	172	28	176	177	165	177	300
ENSG00000163528	1772	121	78	16	124	122	89	111	168
ENSG00000286579	1253	0	2	0	1	1	0	0	1
ENSG00000238008	224	0	0	0	0	0	0	0	0
ENSG00000283563	3535	0	0	0	0	1	0	0	0
ENSG00000154783	8099	77	56	14	91	100	74	98	154
ENSG00000237603	556	0	0	0	0	0	0	0	0
ENSG00000228351	1319	0	0	0	0	0	0	0	0
ENSG00000233153	798	0	0	0	0	1	0	0	2
ENSG00000170248	8819	1831	1731	299	1905	2038	1657	1790	3081
ENSG00000232563	276	0	0	0	0	0	0	0	0
ENSG00000231382	1451	0	0	0	0	0	0	0	0
ENSG00000232958	241	0	0	0	0	0	0	0	0
ENSG00000287059	3351	0	0	0	0	0	0	0	0
ENSG00000232167	42	0	0	0	0	0	0	0	0
ENSG00000251576	2284	0	0	0	1	0	0	0	0
ENSG00000144455	6944	418	424	58	441	450	388	465	683
ENSG00000213854	900	0	0	0	0	0	0	0	0
ENSG00000144642	18437	5	3	0	0	4	5	3	2
ENSG00000224808	428	0	0	0	0	0	0	0	0
ENSG00000287069	3279	0	1	0	1	1	0	0	0
ENSG00000172940	2997	1	2	0	0	0	0	0	3
ENSG00000231897	628	0	0	0	0	0	0	0	0
ENSG00000272121	1069	0	0	0	0	0	0	0	0
ENSG00000226216	371	0	0	0	0	0	0	0	0
ENSG00000234723	418	0	0	0	0	0	0	0	0
ENSG00000268279	1335	2	4	0	6	0	4	2	8
ENSG00000180438	3748	0	0	0	0	0	0	0	0
ENSG00000175928	6401	1	1	0	1	2	1	3	4
ENSG00000184423	469	0	0	0	0	1	0	0	0
ENSG00000234123	1941	0	0	0	0	0	0	0	0
ENSG00000230465	958	0	0	0	0	0	0	0	0
ENSG00000224094	402	1	2	1	4	0	1	4	10
ENSG00000230111	400	0	0	0	0	0	0	0	0
ENSG00000183960	6088	0	0	0	0	0	0	1	0
ENSG00000213849	371	0	0	0	0	0	0	0	0
ENSG00000114353	7405	2650	2238	364	2690	2816	2249	2545	4262
ENSG00000153560	9760	794	815	167	736	702	703	715	1238
ENSG00000271235	605	0	0	0	0	0	0	0	0
ENSG00000236452	555	0	0	0	0	0	0	0	0
ENSG00000235482	791	0	0	0	0	0	0	0	0
ENSG00000163512	6272	366	333	56	359	314	316	370	569
ENSG00000126062	2107	505	453	66	517	478	437	537	799
ENSG00000231401	2616	0	0	1	0	0	0	1	0
ENSG00000114349	3936	2	0	1	1	1	0	0	3
ENSG00000203506	2303	0	0	0	1	0	0	0	0
ENSG00000213600	367	0	0	1	1	0	0	1	2
ENSG00000282987	2118	0	0	0	0	0	0	0	0
ENSG00000213587	470	0	1	0	1	1	0	1	0
ENSG00000114378	3085	2133	1894	361	1964	2037	1830	2204	3707
ENSG00000224752	765	0	0	0	0	0	0	0	0
ENSG00000114388	3412	133	118	21	126	162	139	148	247
ENSG00000198590	8964	35	21	10	20	26	20	21	24
ENSG00000168301	3086	54	61	5	69	74	54	55	96
ENSG00000226183	644	0	0	0	0	0	0	0	0
ENSG00000144566	3767	722	620	115	622	589	571	649	1146
ENSG00000287649	1642	0	0	0	0	0	0	0	0
ENSG00000236411	525	0	0	0	0	0	0	2	0
ENSG00000286952	2472	0	0	0	0	0	1	0	2
ENSG00000288050	1886	0	0	0	0	0	0	0	0
ENSG00000170266	4335	1142	976	156	1202	1280	988	1137	1856
ENSG00000235886	411	0	0	0	0	0	0	0	0
ENSG00000160746	5285	608	531	88	704	766	581	707	1119
ENSG00000231304	6571	4	1	0	2	3	3	2	2
ENSG00000243384	350	1	5	0	1	2	4	3	1
ENSG00000172939	6071	684	612	143	727	722	603	628	1165
ENSG00000088543	3244	45	49	9	48	38	25	62	64
ENSG00000235278	1309	0	0	0	0	0	0	0	0
ENSG00000114383	2404	189	177	31	214	233	212	213	324
ENSG00000240708	2307	0	0	0	0	0	0	0	0
ENSG00000144724	14625	193	193	43	188	209	186	196	330
ENSG00000273356	2060	0	5	1	2	1	2	1	2
ENSG00000225673	590	0	0	1	0	0	0	0	0
ENSG00000235058	250	0	0	0	0	0	0	0	0
ENSG00000231915	1760	0	0	0	0	0	0	0	0
ENSG00000244226	1168	0	0	0	0	0	0	0	0
ENSG00000281358	790	8	7	1	4	8	1	3	7
ENSG00000230123	576	0	0	0	0	0	0	0	0
ENSG00000271266	446	0	0	0	0	0	0	1	0
ENSG00000228337	241	0	0	0	0	0	0	0	0
ENSG00000173473	7624	775	751	174	676	757	658	739	1257
ENSG00000170275	6660	720	683	101	720	744	662	719	1232
ENSG00000243149	853	0	0	0	0	0	0	0	0
ENSG00000287873	853	0	0	0	0	0	0	0	0
ENSG00000144619	9123	11	11	0	5	8	11	7	13
ENSG00000068001	4421	222	176	27	240	233	197	212	383
ENSG00000241367	776	0	0	0	0	0	0	0	0
ENSG00000186451	2190	1	0	1	0	0	1	1	0
ENSG00000239383	352	0	0	0	0	0	0	0	0
ENSG00000226017	2496	0	0	2	0	0	0	0	0
ENSG00000241593	1261	0	0	0	0	0	0	1	0
ENSG00000011198	7539	421	374	107	444	400	382	406	761
ENSG00000244281	1032	0	0	0	0	0	0	0	0
ENSG00000182921	791	0	0	0	0	0	0	0	0
ENSG00000240752	401	0	0	0	0	0	0	0	0
ENSG00000144677	5876	353	324	55	351	346	333	355	626
ENSG00000163935	5681	210	197	52	171	189	209	201	323
ENSG00000244183	493	0	1	0	0	0	0	0	1
ENSG00000283434	3329	0	0	0	0	0	0	0	0
ENSG00000242911	361	0	0	0	0	0	0	0	0
ENSG00000240404	286	0	0	0	0	0	0	0	0
ENSG00000189002	1951	3	1	0	0	0	0	3	1
ENSG00000271174	343	0	0	0	0	0	0	0	0
ENSG00000239767	1739	0	0	0	0	0	0	0	0
ENSG00000114738	3915	355	290	63	342	317	289	333	541
ENSG00000226360	652	20	11	1	15	11	12	14	19
ENSG00000206538	12740	4	4	2	16	4	6	2	4
ENSG00000114480	4651	2437	2117	395	2822	3017	2423	2914	4646
ENSG00000223409	557	0	0	0	0	0	0	0	0
ENSG00000243295	3755	0	1	0	0	0	0	0	0
ENSG00000240951	685	0	0	0	0	0	0	0	0
ENSG00000239699	974	0	0	0	0	0	0	0	0
ENSG00000243877	577	0	0	0	0	0	0	0	0
ENSG00000240573	554	0	0	0	0	0	0	0	0
ENSG00000088538	9069	9	3	0	4	3	3	3	4
ENSG00000172986	3683	1	3	2	9	5	3	1	3
ENSG00000241111	6505	2	0	1	1	1	0	0	2
ENSG00000242705	2787	0	1	0	0	0	0	0	0
ENSG00000277746	297	0	0	0	0	0	0	0	0
ENSG00000237456	405	2	2	0	2	0	2	1	2
ENSG00000153558	7644	0	1	0	3	1	2	1	4
ENSG00000248839	388	0	0	0	0	1	0	0	0
ENSG00000234158	701	0	0	0	0	0	0	0	0
ENSG00000239572	4835	0	0	0	0	0	0	0	0
ENSG00000114541	11201	528	536	106	415	373	352	357	638
ENSG00000242960	550	31	15	3	21	22	12	18	35
ENSG00000271858	1202	0	1	1	0	3	6	1	4
ENSG00000272149	305	0	1	0	0	0	0	0	0
ENSG00000244464	3749	0	0	0	0	0	0	0	0
ENSG00000241319	568	1	1	1	0	0	1	1	2
ENSG00000163618	14665	0	0	0	0	0	0	1	0
ENSG00000241095	1507	0	1	0	3	0	1	0	0
ENSG00000163376	4736	17	21	2	12	15	14	6	26
ENSG00000272305	1760	1	0	0	1	1	0	0	1
ENSG00000243974	700	0	0	1	1	0	0	0	1
ENSG00000144744	4106	384	354	42	411	377	319	400	616
ENSG00000244222	1022	0	0	0	0	0	0	1	0
ENSG00000241293	1547	0	0	0	0	0	0	0	0
ENSG00000239440	4922	0	0	0	0	0	0	0	0
ENSG00000242190	376	0	0	0	0	0	0	0	0
ENSG00000121440	6139	0	0	0	5	0	0	1	0
ENSG00000287053	1454	0	0	0	0	0	0	0	0
ENSG00000241776	911	0	0	0	0	0	0	0	0
ENSG00000288004	714	0	0	0	0	0	0	0	0
ENSG00000214560	264	0	0	0	0	0	0	0	0
ENSG00000080819	3157	207	226	39	190	204	183	202	296
ENSG00000244383	1812	2	0	0	0	0	2	0	1
ENSG00000168309	5321	1	0	1	0	0	0	1	1
ENSG00000286567	746	0	0	0	0	0	0	0	0
ENSG00000240255	1319	0	0	0	0	0	0	0	0
ENSG00000227124	7648	40	25	5	27	36	35	40	70
ENSG00000272202	1159	0	0	0	0	0	0	0	0
ENSG00000242009	2477	0	2	0	1	2	0	2	1
ENSG00000234629	939	0	0	0	0	0	0	0	0
ENSG00000278934	3217	0	0	0	0	0	0	0	0
ENSG00000163378	5365	149	145	31	148	126	114	131	225
ENSG00000242828	403	0	0	0	0	0	0	0	0
ENSG00000172971	687	0	0	0	0	0	0	1	1
ENSG00000240241	1047	0	0	0	0	0	0	0	0
ENSG00000271389	1469	0	0	0	0	0	0	0	0
ENSG00000271034	1540	0	0	0	0	0	0	0	0
ENSG00000270059	450	1	8	1	2	3	4	1	6
ENSG00000242195	1192	0	0	0	0	0	0	0	0
ENSG00000240476	962	0	0	0	1	0	0	0	0
ENSG00000242365	342	0	0	0	0	0	0	0	0
ENSG00000241622	481	0	0	0	0	0	0	0	0
ENSG00000242586	225	0	0	0	0	0	0	0	0
ENSG00000243089	2917	0	0	0	0	0	0	0	0
ENSG00000241158	7003	0	0	0	0	0	0	0	0
ENSG00000282912	290	0	0	0	0	0	0	0	0
ENSG00000241532	1213	0	1	0	0	0	1	0	0
ENSG00000240135	1366	1	0	0	0	0	0	0	0
ENSG00000044524	6577	1	6	0	32	4	9	6	7
ENSG00000081148	8352	0	2	1	3	3	2	4	4
ENSG00000235156	1291	0	0	0	0	0	0	0	0
ENSG00000288105	2066	0	0	0	0	0	0	0	0
ENSG00000273374	3360	0	0	0	0	0	0	0	0
ENSG00000242145	553	0	0	0	0	0	0	0	0
ENSG00000144747	7911	327	357	59	375	374	368	333	641
ENSG00000251088	392	0	0	0	0	0	0	0	0
ENSG00000239226	385	0	0	0	0	0	0	0	0
ENSG00000271024	295	0	0	0	0	0	0	0	0
ENSG00000243296	458	0	0	0	0	0	0	0	0
ENSG00000244048	458	0	0	0	0	0	0	0	0
ENSG00000282511	980	0	0	0	0	0	0	0	0
ENSG00000243195	252	0	0	0	0	0	0	0	0
ENSG00000243635	567	0	0	0	0	1	0	0	0
ENSG00000241328	1321	0	0	0	0	0	0	1	0
ENSG00000244461	409	0	0	0	0	0	0	0	0
ENSG00000036054	5176	557	570	87	547	527	516	434	800
ENSG00000154174	5078	1178	1141	185	1130	1082	1000	994	1731
ENSG00000240309	1384	0	0	0	0	0	0	0	0
ENSG00000285780	966	0	0	0	0	0	0	0	0
ENSG00000138468	6396	120	121	22	130	145	125	112	204
ENSG00000240827	554	0	0	0	0	0	0	0	0
ENSG00000242641	8725	0	0	0	0	0	0	0	0
ENSG00000241305	1043	0	0	0	0	0	0	0	0
ENSG00000242573	893	0	0	0	0	0	0	0	0
ENSG00000184220	7207	107	92	17	124	115	94	112	164
ENSG00000241884	2110	0	0	0	0	0	0	0	0
ENSG00000242781	1259	0	0	0	0	0	0	0	0
ENSG00000114021	9226	1171	1114	196	1216	1113	1086	1174	1978
ENSG00000277000	516	0	0	1	0	0	0	0	0
ENSG00000255423	1679	10	7	2	7	4	4	18	28
ENSG00000236691	244	0	0	0	0	0	0	0	0
ENSG00000114423	12269	395	449	125	340	345	328	379	647
ENSG00000285635	592	0	0	0	0	0	0	0	0
ENSG00000206535	1910	12	14	2	10	14	9	16	25
ENSG00000250562	214	0	0	0	0	0	0	0	0
ENSG00000241754	3531	2	2	0	2	2	1	1	2
ENSG00000239589	6032	0	0	0	0	0	0	0	0
ENSG00000004838	2889	1	2	0	2	1	3	2	2
ENSG00000153266	2228	0	0	1	0	0	0	0	0
ENSG00000138472	1164	0	0	0	0	0	0	0	0
ENSG00000239388	3240	1	0	0	2	2	3	2	2
ENSG00000144810	9408	0	1	1	5	2	1	0	2
ENSG00000287378	2086	0	0	0	0	1	2	1	1
ENSG00000178660	855	4	4	1	3	3	7	2	5
ENSG00000230618	407	0	0	0	0	0	0	0	0
ENSG00000170017	7179	1501	1458	256	1348	1309	1233	1227	2121
ENSG00000242609	838	0	0	0	0	0	0	0	0
ENSG00000242428	3980	0	0	0	0	0	0	0	0
ENSG00000144827	3026	209	222	30	233	204	189	201	312
ENSG00000272104	408	0	0	0	0	0	0	0	0
ENSG00000174500	3750	1	0	0	0	0	0	0	1
ENSG00000240572	176	0	0	0	0	0	0	0	0
ENSG00000242545	698	0	0	0	0	0	0	0	0
ENSG00000239288	1619	0	0	0	0	0	0	0	0
ENSG00000214405	544	0	0	0	0	0	0	0	0
ENSG00000225662	610	0	0	0	0	0	0	0	1
ENSG00000163412	10808	292	249	46	281	293	242	317	478
ENSG00000240107	1853	0	0	0	0	0	0	0	0
ENSG00000241738	1951	0	0	0	0	0	0	0	0
ENSG00000287421	972	0	0	0	0	0	0	0	0
ENSG00000243014	342	0	0	0	0	0	0	0	0
ENSG00000240156	228	0	0	0	0	0	0	0	0
ENSG00000240959	734	0	0	0	0	0	0	0	0
ENSG00000154165	2704	0	0	0	0	0	0	0	0
ENSG00000226082	512	1	0	0	0	1	0	0	0
ENSG00000240097	1258	0	0	0	0	0	0	0	0
ENSG00000240393	803	0	0	0	0	0	0	0	0
ENSG00000228980	6602	0	0	0	0	0	0	0	1
ENSG00000279349	2595	0	1	0	0	0	0	0	0
ENSG00000249992	1822	21	10	2	14	19	11	6	14
ENSG00000091972	2991	0	0	0	1	0	0	0	0
ENSG00000240405	15702	0	1	0	0	1	0	0	0
ENSG00000283544	838	1	1	0	1	0	0	0	3
ENSG00000163377	3255	0	0	0	0	0	0	0	0
ENSG00000176142	5867	151	149	33	154	158	175	167	282
ENSG00000242841	1338	2	1	0	0	1	0	1	1
ENSG00000276471	306	0	0	0	0	0	0	0	0
ENSG00000163666	1493	4	1	2	6	1	7	2	9
ENSG00000288074	3813	0	1	0	0	0	0	0	0
ENSG00000244130	202	0	0	0	0	0	0	0	0
ENSG00000288039	1007	0	0	0	0	0	0	0	0
ENSG00000241572	709	0	0	0	0	0	0	0	0
ENSG00000244513	3746	4	5	0	0	3	1	2	9
ENSG00000145050	2139	767	691	59	849	721	663	782	1256
ENSG00000241861	993	0	0	0	0	0	0	0	0
ENSG00000241804	553	0	0	0	0	0	0	0	0
ENSG00000288079	4451	0	0	0	0	0	0	0	0
ENSG00000113845	2715	327	348	42	403	409	301	336	632
ENSG00000243903	696	0	0	0	0	0	0	0	0
ENSG00000176095	5200	282	296	73	241	281	250	300	503
ENSG00000198919	6943	113	127	22	115	113	112	121	213
ENSG00000244342	2745	0	0	0	0	0	0	0	0
ENSG00000243849	1331	0	0	0	0	0	0	0	0
ENSG00000286602	675	2	1	1	0	1	2	2	1
ENSG00000243197	3324	0	0	0	0	0	0	0	0
ENSG00000163530	1383	0	0	0	0	0	0	0	0
ENSG00000240751	1053	0	0	0	0	0	0	0	0
ENSG00000287131	886	0	0	0	0	0	0	0	0
ENSG00000240568	183	0	0	0	0	0	0	0	0
ENSG00000243873	576	0	0	0	0	0	0	0	0
ENSG00000240787	417	1	0	0	0	0	0	0	0
ENSG00000285708	3320	0	0	0	1	0	0	0	1
ENSG00000144837	2169	197	190	40	297	302	237	263	420
ENSG00000214380	618	0	0	0	0	0	0	0	0
ENSG00000170837	2642	0	0	0	1	1	0	2	0
ENSG00000280435	1670	0	0	0	0	0	0	0	0
ENSG00000163424	1964	0	0	0	0	0	0	0	0
ENSG00000250218	437	3	1	0	0	1	1	2	3
ENSG00000243429	907	2	0	0	0	0	2	2	1
ENSG00000242385	1452	0	0	0	0	0	0	0	0
ENSG00000280382	339	0	0	0	0	0	0	0	0
ENSG00000283669	304	0	0	0	0	0	0	0	0
ENSG00000163814	6508	19	11	2	7	7	4	12	13
ENSG00000232407	495	2	0	0	1	0	0	1	1
ENSG00000121594	3213	0	2	0	1	3	1	2	5
ENSG00000174738	5793	1518	1522	251	1519	1422	1280	1253	2167
ENSG00000261364	928	0	0	0	0	0	0	0	0
ENSG00000240359	231	0	0	0	0	0	0	0	0
ENSG00000080822	5210	136	173	23	170	206	182	187	265
ENSG00000241316	11122	131	100	25	121	152	128	110	214
ENSG00000242829	348	1	0	0	0	1	0	0	0
ENSG00000240895	801	0	0	0	0	0	0	0	0
ENSG00000243081	1563	0	0	0	0	0	0	0	0
ENSG00000273033	5476	24	27	6	18	23	18	24	42
ENSG00000241224	3434	134	118	15	104	86	89	93	157
ENSG00000240254	552	0	0	0	0	0	0	0	0
ENSG00000189283	7472	47	58	16	56	58	43	68	82
ENSG00000206530	12160	33	32	11	39	43	47	47	95
ENSG00000144746	2555	1815	1685	252	1782	1942	1554	1730	2866
ENSG00000243674	955	0	0	0	0	0	0	0	0
ENSG00000198406	826	33	58	7	42	34	26	33	50
ENSG00000168306	3823	679	578	113	720	778	670	806	1198
ENSG00000287795	2691	0	0	0	0	0	0	1	0
ENSG00000244196	484	0	0	0	0	0	0	0	0
ENSG00000244215	1607	0	0	0	0	0	0	0	0
ENSG00000144847	4899	0	0	0	1	0	0	2	0
ENSG00000287784	1375	0	0	0	0	0	0	0	0
ENSG00000153551	3724	42	21	6	44	42	34	37	43
ENSG00000163611	7941	13	9	5	13	11	13	6	24
ENSG00000163513	6850	899	1013	185	909	868	856	884	1479
ENSG00000240198	647	0	0	0	0	0	0	0	0
ENSG00000114487	3747	2	3	1	2	3	6	3	9
ENSG00000183813	3025	0	0	0	0	0	0	0	0
ENSG00000224074	3446	4	2	2	4	2	2	1	4
ENSG00000240661	4265	0	0	0	2	6	1	2	6
ENSG00000144834	1716	0	0	0	0	0	0	0	0
ENSG00000243945	228	0	0	0	0	0	0	0	0
ENSG00000261786	5067	0	0	0	0	0	0	1	0
ENSG00000272610	2567	6	3	4	10	3	3	2	4
ENSG00000234458	964	0	0	0	0	0	0	0	0
ENSG00000286915	1002	0	0	0	0	0	0	0	0
ENSG00000114446	3631	65	82	8	81	89	78	59	111
ENSG00000285943	6837	1	3	0	2	3	6	4	7
ENSG00000185565	10286	0	0	0	0	0	0	0	0
ENSG00000239921	6861	0	0	0	0	0	0	0	1
ENSG00000242052	625	1	0	0	0	0	0	0	3
ENSG00000239432	377	0	0	0	0	0	0	0	0
ENSG00000236138	1255	0	0	0	0	0	0	0	0
ENSG00000286919	1344	0	0	0	0	0	0	0	0
ENSG00000114520	2708	859	851	110	887	1020	786	844	1375
ENSG00000121578	6988	255	182	28	249	248	217	222	389
ENSG00000272967	439	0	0	0	0	0	0	3	1
ENSG00000163870	5621	223	250	46	298	278	267	244	479
ENSG00000186265	3610	0	0	0	0	0	0	0	0
ENSG00000287232	3819	5	3	0	4	3	2	2	9
ENSG00000286492	247	0	0	0	0	0	0	0	0
ENSG00000228112	355	0	0	0	0	0	0	0	0
ENSG00000172139	4208	0	1	0	0	0	0	0	0
ENSG00000244722	869	0	0	0	0	0	0	0	3
ENSG00000285738	2616	0	0	0	0	0	0	0	0
ENSG00000214283	1001	0	0	0	0	0	0	0	0
ENSG00000239350	179	0	0	0	0	0	0	0	0
ENSG00000144848	6110	431	365	50	427	455	360	432	714
ENSG00000214552	627	0	0	0	0	0	0	0	0
ENSG00000169087	5445	16	18	7	29	22	18	28	49
ENSG00000259956	6624	528	504	114	483	490	456	478	847
ENSG00000228963	907	0	0	0	0	0	0	0	0
ENSG00000114638	2256	0	0	0	0	0	0	0	0
ENSG00000241478	1943	12	9	0	16	20	17	16	24
ENSG00000170142	3346	472	395	49	467	499	392	404	784
ENSG00000242029	262	0	1	0	0	0	0	0	0
ENSG00000240774	357	0	0	0	0	0	0	0	0
ENSG00000242880	4762	2	1	0	0	0	0	3	0
ENSG00000163519	2456	0	0	0	0	1	0	1	1
ENSG00000241596	562	0	0	0	0	0	0	0	0
ENSG00000272662	504	1	0	0	0	0	0	1	0
ENSG00000239314	564	0	0	0	0	0	0	0	0
ENSG00000177494	2214	0	0	0	0	0	0	0	0
ENSG00000239311	411	0	0	0	0	0	0	0	0
ENSG00000273461	496	0	0	0	0	0	0	0	0
ENSG00000214324	1740	0	0	0	0	0	0	0	0
ENSG00000286967	649	0	0	0	0	0	0	0	0
ENSG00000242109	849	0	0	0	0	0	0	0	0
ENSG00000228252	3928	1	1	0	0	0	0	0	0
ENSG00000163605	5945	718	818	115	782	738	739	742	1159
ENSG00000244441	339	1	0	0	0	4	0	2	2
ENSG00000001617	4826	26	16	2	13	8	6	17	16
ENSG00000240175	591	0	0	0	0	0	0	0	0
ENSG00000239439	477	0	0	0	0	0	0	0	0
ENSG00000214381	3613	2	0	0	0	0	0	0	0
ENSG00000242070	602	0	0	0	0	0	0	0	0
ENSG00000241155	624	0	0	0	0	0	0	0	0
ENSG00000240562	697	0	0	0	0	0	0	0	0
ENSG00000243276	2241	0	0	0	0	0	0	1	0
ENSG00000236722	367	0	0	0	0	0	0	0	0
ENSG00000170819	2009	0	0	0	0	1	0	0	0
ENSG00000251012	246	0	0	0	0	0	0	0	0
ENSG00000144824	12309	944	913	274	850	845	766	760	1434
ENSG00000242308	159	1	0	0	0	0	2	0	0
ENSG00000250012	1656	3	6	1	8	2	8	7	13
ENSG00000244640	651	0	0	0	0	0	0	0	0
ENSG00000241257	188	0	0	0	0	0	0	0	0
ENSG00000158186	6258	205	182	34	191	187	168	172	293
ENSG00000198643	1626	0	0	0	0	0	0	0	0
ENSG00000114125	3102	453	436	42	501	471	420	493	799
ENSG00000144909	4598	381	422	74	404	376	368	403	703
ENSG00000189196	2129	0	0	0	0	0	0	0	0
ENSG00000242525	1015	0	0	0	0	0	0	0	0
ENSG00000065485	4067	542	505	90	604	508	476	534	961
ENSG00000174564	2443	25	18	4	33	24	19	34	38
ENSG00000138459	4828	222	226	33	220	276	214	253	404
ENSG00000145103	2995	31	24	9	13	25	25	25	36
ENSG00000251011	3269	0	0	0	0	0	0	0	0
ENSG00000261734	2314	0	1	1	0	0	0	0	0
ENSG00000271249	763	0	0	0	0	0	0	0	0
ENSG00000231395	518	0	0	1	0	0	0	0	0
ENSG00000158220	9816	17	22	3	23	21	17	18	31
ENSG00000118007	7843	348	374	95	322	331	328	303	582
ENSG00000241777	97	0	0	0	0	0	0	0	0
ENSG00000239677	1598	0	0	0	0	0	0	0	0
ENSG00000241695	521	0	0	0	0	0	0	0	0
ENSG00000228398	268	0	0	0	0	0	0	0	0
ENSG00000206527	5219	1301	1246	218	1236	1184	1219	1192	2078
ENSG00000244144	519	0	0	0	0	0	0	0	0
ENSG00000244720	959	0	0	0	0	0	0	0	0
ENSG00000163421	1613	0	0	0	0	0	0	0	0
ENSG00000242968	709	0	0	0	0	0	0	0	0
ENSG00000240888	441	0	0	0	0	0	0	0	0
ENSG00000163430	8467	5130	4382	835	4155	4871	3747	3835	7036
ENSG00000157500	7516	494	505	91	485	532	461	542	847
ENSG00000239482	1262	0	0	0	0	0	0	0	0
ENSG00000168875	2020	0	0	0	0	0	0	0	0
ENSG00000214237	2355	0	0	0	0	0	0	0	0
ENSG00000241359	558	0	0	0	0	0	0	0	0
ENSG00000243016	688	0	0	0	0	0	0	0	0
ENSG00000244142	207	0	0	0	0	0	0	0	0
ENSG00000241143	407	0	0	0	0	0	0	0	0
ENSG00000286822	566	0	0	0	0	0	0	0	0
ENSG00000286660	371	0	0	0	0	0	0	0	0
ENSG00000241213	1330	0	0	0	0	0	0	0	0
ENSG00000244124	376	0	0	0	0	0	0	0	0
ENSG00000114744	4895	254	207	30	227	258	192	203	401
ENSG00000242222	277	0	0	0	0	0	0	0	0
ENSG00000177707	7717	300	290	51	310	304	285	265	472
ENSG00000239877	1604	0	0	0	0	0	0	0	0
ENSG00000240891	8974	118	116	21	103	114	64	85	155
ENSG00000244561	949	0	0	0	0	0	0	0	0
ENSG00000163637	14738	193	150	56	126	110	101	104	180
ENSG00000240893	2022	0	0	0	0	0	0	0	0
ENSG00000241506	1320	0	0	0	0	0	1	1	1
ENSG00000241131	2473	0	0	0	0	0	0	0	0
ENSG00000282975	760	0	0	0	0	0	0	0	0
ENSG00000282502	336	0	0	0	0	0	0	0	0
ENSG00000240922	553	0	0	0	0	0	0	0	0
ENSG00000241544	2653	15	25	3	28	19	21	19	25
ENSG00000239453	465	0	0	0	0	0	0	0	0
ENSG00000249407	562	0	0	0	0	0	1	0	0
ENSG00000261488	1937	5	2	2	4	9	3	4	10
ENSG00000240086	9663	2	4	1	3	6	7	5	3
ENSG00000152977	6825	45	33	10	47	45	42	45	76
ENSG00000242791	721	1	0	0	1	0	0	0	0
ENSG00000250433	2693	0	0	0	0	0	0	0	0
ENSG00000175792	6998	194	166	13	261	223	182	198	332
ENSG00000286735	1466	8	7	0	7	8	1	5	9
ENSG00000244171	1291	2	6	0	0	0	1	0	6
ENSG00000244101	553	0	0	0	0	0	0	0	0
ENSG00000198829	4181	74	48	10	79	62	85	91	126
ENSG00000065518	1877	707	620	81	760	750	643	714	1134
ENSG00000114107	4409	211	208	23	207	200	183	186	318
ENSG00000243347	1166	0	0	0	0	0	0	0	0
ENSG00000280399	3691	3	0	0	3	0	2	3	1
ENSG00000285660	708	0	0	0	0	0	0	0	0
ENSG00000250608	8656	2	1	1	5	4	4	3	7
ENSG00000243620	4540	0	0	0	0	0	0	0	0
ENSG00000243305	474	0	0	0	0	0	0	0	0
ENSG00000174715	504	2	0	0	1	4	3	4	5
ENSG00000241679	746	0	0	0	0	0	0	0	0
ENSG00000174930	1743	0	0	0	0	0	0	0	0
ENSG00000242370	456	0	0	0	0	0	0	0	0
ENSG00000239412	459	0	0	0	0	0	1	0	0
ENSG00000240216	3934	1	0	0	1	1	5	1	1
ENSG00000249820	889	0	0	0	0	0	0	0	0
ENSG00000240012	518	0	0	0	0	1	0	0	0
ENSG00000163590	12442	555	576	182	459	480	576	661	1077
ENSG00000031081	9374	21	26	3	14	23	31	33	41
ENSG00000047457	7072	3644	5156	835	5861	3713	3856	3546	6237
ENSG00000240766	491	0	0	0	0	0	0	0	0
