GeneID_mouse	GeneSymbol_mouse	GeneID_macaque	GeneSymbol_macaque
ENSMUSG00000117819	Gm50253	ENSMFAG00000025074	ZBTB9
ENSMUSG00000026603	Smyd2	ENSMFAG00000022994	SMYD2
ENSMUSG00000040383	Aqr	ENSMFAG00000030453	AQR
ENSMUSG00000003573	Homer3	ENSMFAG00000031509	
ENSMUSG00000026888	Grb14	ENSMFAG00000031856	GRB14
ENSMUSG00000090862	Rps13	ENSMFAG00000026839	
ENSMUSG00000090862	Rps13	ENSMFAG00000031871	
ENSMUSG00000058258	Idi1	ENSMFAG00000026656	IDI1
ENSMUSG00000044468	Tent5c	ENSMFAG00000019955	
ENSMUSG00000074768	Bhmt	ENSMFAG00000030260	BHMT
ENSMUSG00000022537	Tmem44	ENSMFAG00000029965	TMEM44
ENSMUSG00000041272	Tox	ENSMFAG00000017703	TOX
ENSMUSG00000021886	Gpr65	ENSMFAG00000029637	GPR65
ENSMUSG00000023010	Tmbim6	ENSMFAG00000018634	
ENSMUSG00000022354	Ndufb9	ENSMFAG00000027851	
ENSMUSG00000028840	Zfp593	ENSMFAG00000025982	
ENSMUSG00000045284	Dcaf12l1	ENSMFAG00000024130	DCAF12L2
ENSMUSG00000020843	Timm22	ENSMFAG00000031269	TIMM22
ENSMUSG00000025326	Ube3a	ENSMFAG00000031630	
ENSMUSG00000035181	Heatr5a	ENSMFAG00000031414	HEATR5A
ENSMUSG00000068220	Lgals1	ENSMFAG00000030003	
ENSMUSG00000060429	Sntb1	ENSMFAG00000031454	SNTB1
ENSMUSG00000029640	Usp12	ENSMFAG00000031734	
ENSMUSG00000024833	Pola2	ENSMFAG00000031551	
ENSMUSG00000021000	Mia2	ENSMFAG00000030071	
ENSMUSG00000024292	Cyp4f14	ENSMFAG00000031101	CYP4F2
ENSMUSG00000012405	Rpl15	ENSMFAG00000030852	
ENSMUSG00000012405	Rpl15	ENSMFAG00000031645	
ENSMUSG00000012405	Rpl15	ENSMFAG00000031773	
ENSMUSG00000022637	Cblb	ENSMFAG00000031044	CBLB
ENSMUSG00000019797	1700021F05Rik	ENSMFAG00000026508	
ENSMUSG00000030917	Tmem159	ENSMFAG00000031143	TMEM159
ENSMUSG00000073725	Lmbrd1	ENSMFAG00000028262	
ENSMUSG00000054659	Pm20d2	ENSMFAG00000016066	PM20D2
ENSMUSG00000004317	Clcn5	ENSMFAG00000031675	CLCN5
ENSMUSG00000063445	Nmral1	ENSMFAG00000030193	NMRAL1
ENSMUSG00000056211	R3hdm1	ENSMFAG00000030331	R3HDM1
ENSMUSG00000071657	Bscl2	ENSMFAG00000031001	
ENSMUSG00000024122	Pdpk1	ENSMFAG00000030857	PDPK1
ENSMUSG00000069733	Ube2u	ENSMFAG00000024825	
ENSMUSG00000072964	Bhlhb9	ENSMFAG00000030578	
ENSMUSG00000072964	Bhlhb9	ENSMFAG00000030744	
ENSMUSG00000004891	Nes	ENSMFAG00000025686	NES
ENSMUSG00000042079	Hnrnpf	ENSMFAG00000021184	
ENSMUSG00000040616	Tmem51	ENSMFAG00000031613	TMEM51
ENSMUSG00000031229	Atrx	ENSMFAG00000031719	ATRX
ENSMUSG00000019806	Aig1	ENSMFAG00000015355	AIG1
ENSMUSG00000027333	Smox	ENSMFAG00000031692	SMOX
ENSMUSG00000048076	Arf1	ENSMFAG00000016818	
ENSMUSG00000005447	Pafah1b3	ENSMFAG00000031090	PAFAH1B3
ENSMUSG00000022702	Hira	ENSMFAG00000030575	HIRA
ENSMUSG00000008604	Ubqln4	ENSMFAG00000031866	
ENSMUSG00000032217	Rnf111	ENSMFAG00000031221	RNF111
ENSMUSG00000027219	Slc28a2	ENSMFAG00000019210	SLC28A2
ENSMUSG00000041632	Mrps27	ENSMFAG00000030039	MRPS27
ENSMUSG00000029486	Mrpl1	ENSMFAG00000030593	MRPL1
ENSMUSG00000028003	Lrat	ENSMFAG00000029235	LRAT
ENSMUSG00000040213	Kyat3	ENSMFAG00000026682	
ENSMUSG00000029175	Slc35f6	ENSMFAG00000029510	SLC35F6
ENSMUSG00000057789	Bak1	ENSMFAG00000029410	BAK1
ENSMUSG00000038954	Supt3	ENSMFAG00000020326	SUPT3H
ENSMUSG00000017718	Afmid	ENSMFAG00000026977	AFMID
ENSMUSG00000044573	Acp1	ENSMFAG00000030760	
ENSMUSG00000030787	Lyve1	ENSMFAG00000031520	LYVE1
ENSMUSG00000039345	Mettl22	ENSMFAG00000027750	METTL22
ENSMUSG00000018848	Rars	ENSMFAG00000030272	RARS
ENSMUSG00000024099	Ndufv2	ENSMFAG00000030299	
ENSMUSG00000055296	Tmem245	ENSMFAG00000026452	TMEM245
ENSMUSG00000025737	Wdr24	ENSMFAG00000031351	WDR24
ENSMUSG00000026150	Mff	ENSMFAG00000028746	
ENSMUSG00000094622	Gm3055	ENSMFAG00000017090	
ENSMUSG00000094622	Gm3055	ENSMFAG00000031238	
ENSMUSG00000030423	Pop4	ENSMFAG00000029606	POP4
ENSMUSG00000029148	Nrbp1	ENSMFAG00000031403	NRBP1
ENSMUSG00000026004	Kansl1l	ENSMFAG00000031878	KANSL1L
ENSMUSG00000067288	Rps28	ENSMFAG00000029879	
ENSMUSG00000009633	G0s2	ENSMFAG00000024733	G0S2
ENSMUSG00000087006	Gm13889	ENSMFAG00000030397	C11orf96
ENSMUSG00000041515	Irf8	ENSMFAG00000031542	IRF8
ENSMUSG00000110344	Gm45716	ENSMFAG00000029631	SMIM36
ENSMUSG00000026827	Gpd2	ENSMFAG00000031606	GPD2
ENSMUSG00000001524	Gtf2h4	ENSMFAG00000022244	GTF2H4
ENSMUSG00000037570	Mcrs1	ENSMFAG00000022915	MCRS1
ENSMUSG00000065862	Gm24029	ENSMFAG00000030139	
ENSMUSG00000031592	Pcm1	ENSMFAG00000030579	PCM1
ENSMUSG00000018920	Cxcl16	ENSMFAG00000031064	CXCL16
ENSMUSG00000025277	Abhd6	ENSMFAG00000022753	
ENSMUSG00000043424	Eif3j2	ENSMFAG00000031049	EIF3J
ENSMUSG00000021124	Vti1b	ENSMFAG00000030445	
ENSMUSG00000044149	Nkrf	ENSMFAG00000031196	NKRF
ENSMUSG00000023089	Ndufa5	ENSMFAG00000030932	
ENSMUSG00000020053	Igf1	ENSMFAG00000030766	IGF1
ENSMUSG00000027176	Cstf3	ENSMFAG00000029516	CSTF3
ENSMUSG00000024424	Ttc39c	ENSMFAG00000023934	TTC39C
ENSMUSG00000003680	Taf6l	ENSMFAG00000030912	TAF6L
ENSMUSG00000027227	Sord	ENSMFAG00000022177	
ENSMUSG00000079293	Clec7a	ENSMFAG00000031774	CLEC7A
ENSMUSG00000051502	Ufsp1	ENSMFAG00000028750	UFSP1
ENSMUSG00000031358	Msl3	ENSMFAG00000031868	MSL3
ENSMUSG00000045896	Paip2b	ENSMFAG00000027132	PAIP2B
ENSMUSG00000028228	Cpne3	ENSMFAG00000031433	CPNE3
ENSMUSG00000044916	1700029I15Rik	ENSMFAG00000031146	C11orf94
ENSMUSG00000045733	Sprn	ENSMFAG00000029744	SPRN
ENSMUSG00000024845	Tmem134	ENSMFAG00000030408	TMEM134
ENSMUSG00000034424	Gcsh	ENSMFAG00000018080	
ENSMUSG00000034424	Gcsh	ENSMFAG00000030429	
ENSMUSG00000095098	Ccdc85b	ENSMFAG00000030555	CCDC85B
ENSMUSG00000028771	Ptpn12	ENSMFAG00000030934	PTPN12
ENSMUSG00000034190	Chmp7	ENSMFAG00000031228	CHMP7
ENSMUSG00000017778	Cox7c	ENSMFAG00000015912	
ENSMUSG00000017778	Cox7c	ENSMFAG00000025290	
ENSMUSG00000017778	Cox7c	ENSMFAG00000030184	
ENSMUSG00000051650	B3gnt2	ENSMFAG00000029481	B3GNT2
ENSMUSG00000026094	Stk17b	ENSMFAG00000031131	STK17B
ENSMUSG00000048007	Timm8a1	ENSMFAG00000030054	
ENSMUSG00000020873	Slc35b1	ENSMFAG00000025107	SLC35B1
ENSMUSG00000089862	Umad1	ENSMFAG00000019049	UMAD1
ENSMUSG00000037957	Wdr20	ENSMFAG00000028407	WDR20
ENSMUSG00000024561	Mbd1	ENSMFAG00000026335	MBD1
ENSMUSG00000034152	Exoc3	ENSMFAG00000029713	EXOC3
ENSMUSG00000002017	Fam98a	ENSMFAG00000031093	FAM98A
ENSMUSG00000045934	Mtmr11	ENSMFAG00000031699	MTMR11
ENSMUSG00000014195	Dnajc7	ENSMFAG00000031092	
ENSMUSG00000028224	Nbn	ENSMFAG00000030845	NBN
ENSMUSG00000014226	Cacybp	ENSMFAG00000021451	
ENSMUSG00000014226	Cacybp	ENSMFAG00000031031	
ENSMUSG00000069607	Cd300ld3	ENSMFAG00000030780	CD300LF
ENSMUSG00000005699	Pard6a	ENSMFAG00000030985	PARD6A
ENSMUSG00000050947	Amigo1	ENSMFAG00000030580	AMIGO1
ENSMUSG00000039182	AW209491	ENSMFAG00000027286	C7orf25
ENSMUSG00000020423	Btg2	ENSMFAG00000025652	BTG2
ENSMUSG00000023572	Ccndbp1	ENSMFAG00000031199	
ENSMUSG00000028256	Odf2l	ENSMFAG00000017081	ODF2L
ENSMUSG00000072476	Gm9008	ENSMFAG00000030008	RNF26
ENSMUSG00000021650	Ptcd2	ENSMFAG00000031516	PTCD2
ENSMUSG00000027962	Vcam1	ENSMFAG00000028887	VCAM1
ENSMUSG00000026754	Golga1	ENSMFAG00000031129	GOLGA1
ENSMUSG00000037740	Mrps26	ENSMFAG00000029490	MRPS26
ENSMUSG00000003662	Ciao1	ENSMFAG00000031754	CIAO1
ENSMUSG00000004500	Zfp324	ENSMFAG00000027496	ZNF324
ENSMUSG00000034341	Wbp2	ENSMFAG00000031565	
ENSMUSG00000021520	Uqcrb	ENSMFAG00000022204	
ENSMUSG00000021520	Uqcrb	ENSMFAG00000025927	UQCRB
ENSMUSG00000021520	Uqcrb	ENSMFAG00000031491	
ENSMUSG00000043832	Clec4a3	ENSMFAG00000031601	CLEC4C
ENSMUSG00000024844	Banf1	ENSMFAG00000028436	
ENSMUSG00000020400	Tnip1	ENSMFAG00000030366	TNIP1
ENSMUSG00000018846	Pank3	ENSMFAG00000031110	PANK3
ENSMUSG00000041057	Wdr43	ENSMFAG00000031243	WDR43
ENSMUSG00000026096	Osgepl1	ENSMFAG00000031772	OSGEPL1
ENSMUSG00000048779	P2ry6	ENSMFAG00000028522	P2RY6
ENSMUSG00000021423	Ly86	ENSMFAG00000031478	LY86
ENSMUSG00000010911	Apip	ENSMFAG00000031416	APIP
ENSMUSG00000028394	Pole3	ENSMFAG00000030385	
ENSMUSG00000005150	Wdr83	ENSMFAG00000015960	WDR83
ENSMUSG00000049755	Zfp672	ENSMFAG00000030010	ZNF672
ENSMUSG00000029442	Wdr66	ENSMFAG00000025564	WDR66
ENSMUSG00000032637	Atxn2l	ENSMFAG00000030590	ATXN2L
ENSMUSG00000032593	Amigo3	ENSMFAG00000029250	AMIGO3
ENSMUSG00000005681	Apoa2	ENSMFAG00000031068	APOA2
ENSMUSG00000000581	C1d	ENSMFAG00000028681	
ENSMUSG00000014767	Tbp	ENSMFAG00000031133	
ENSMUSG00000055041	Commd5	ENSMFAG00000029028	COMMD5
ENSMUSG00000029434	Vps33a	ENSMFAG00000019477	VPS33A
ENSMUSG00000038690	Atp5j2	ENSMFAG00000019118	
ENSMUSG00000038690	Atp5j2	ENSMFAG00000019292	
ENSMUSG00000038690	Atp5j2	ENSMFAG00000022213	
ENSMUSG00000038690	Atp5j2	ENSMFAG00000030837	
ENSMUSG00000079605	Zbtb9	ENSMFAG00000025074	ZBTB9
ENSMUSG00000022550	Adck5	ENSMFAG00000031783	ADCK5
ENSMUSG00000069895	Atxn1l	ENSMFAG00000029752	ATXN1L
ENSMUSG00000074088	Snrnp40	ENSMFAG00000031418	
ENSMUSG00000037710	Cisd1	ENSMFAG00000026469	
ENSMUSG00000030602	Pak4	ENSMFAG00000026283	PAK4
ENSMUSG00000018661	Cog1	ENSMFAG00000018901	COG1
ENSMUSG00000042548	Asxl1	ENSMFAG00000029400	ASXL1
ENSMUSG00000034203	Chchd4	ENSMFAG00000029251	
ENSMUSG00000046434	Hnrnpa1	ENSMFAG00000031561	
ENSMUSG00000040648	Ppip5k2	ENSMFAG00000031770	PPIP5K2
ENSMUSG00000049404	Rarres1	ENSMFAG00000023184	RARRES1
ENSMUSG00000025204	Ndufb8	ENSMFAG00000020533	
ENSMUSG00000025204	Ndufb8	ENSMFAG00000024716	
ENSMUSG00000071497	Nutf2-ps1	ENSMFAG00000027212	
ENSMUSG00000008845	Cd163	ENSMFAG00000030782	CD163
ENSMUSG00000027230	Creb3l1	ENSMFAG00000031047	CREB3L1
ENSMUSG00000040675	Mthfd1l	ENSMFAG00000031281	MTHFD1L
ENSMUSG00000037348	Paqr7	ENSMFAG00000029286	PAQR7
ENSMUSG00000039438	Ttc36	ENSMFAG00000031481	TTC36
ENSMUSG00000018481	Appbp2	ENSMFAG00000031643	APPBP2
ENSMUSG00000029701	Rbm28	ENSMFAG00000031036	RBM28
ENSMUSG00000033773	Rpap2	ENSMFAG00000031837	RPAP2
ENSMUSG00000022906	Parp9	ENSMFAG00000030796	PARP9
ENSMUSG00000077220	Snord78	ENSMFAG00000021734	
ENSMUSG00000077220	Snord78	ENSMFAG00000021755	
ENSMUSG00000045973	Slc25a51	ENSMFAG00000020470	SLC25A51
ENSMUSG00000045973	Slc25a51	ENSMFAG00000031297	
ENSMUSG00000030309	Caprin2	ENSMFAG00000025167	CAPRIN2
ENSMUSG00000031886	Ces2e	ENSMFAG00000031745	
ENSMUSG00000001157	Gmcl1	ENSMFAG00000018167	GMCL2
ENSMUSG00000064284	Cdpf1	ENSMFAG00000030588	CDPF1
ENSMUSG00000024378	Stard4	ENSMFAG00000030560	STARD4
ENSMUSG00000027596	a	ENSMFAG00000021289	ASIP
ENSMUSG00000045092	S1pr1	ENSMFAG00000020071	S1PR1
ENSMUSG00000031078	Cttn	ENSMFAG00000022887	CTTN
ENSMUSG00000026743	Mllt10	ENSMFAG00000031775	MLLT10
ENSMUSG00000035184	Fam124a	ENSMFAG00000030099	FAM124A
ENSMUSG00000043279	Trim56	ENSMFAG00000030488	TRIM56
ENSMUSG00000022881	Rfc4	ENSMFAG00000030286	RFC4
ENSMUSG00000008668	Rps18	ENSMFAG00000021547	
ENSMUSG00000067924	Rtl8b	ENSMFAG00000030340	
ENSMUSG00000068114	Ccdc134	ENSMFAG00000031727	CCDC134
ENSMUSG00000044709	Gemin7	ENSMFAG00000030305	GEMIN7
ENSMUSG00000034957	Cebpa	ENSMFAG00000030080	CEBPA
ENSMUSG00000063354	Slc39a4	ENSMFAG00000031715	SLC39A4
ENSMUSG00000015357	Clpx	ENSMFAG00000030855	
ENSMUSG00000037617	Spag1	ENSMFAG00000027456	SPAG1
ENSMUSG00000026466	Tor1aip1	ENSMFAG00000031398	TOR1AIP1
ENSMUSG00000038618	Rassf7	ENSMFAG00000019478	RASSF7
ENSMUSG00000054115	Skp2	ENSMFAG00000030476	SKP2
ENSMUSG00000002803	Btbd6	ENSMFAG00000031060	BTBD6
ENSMUSG00000059878	Zfp422	ENSMFAG00000030897	ZNF22
ENSMUSG00000047246	Hist1h2be	ENSMFAG00000030755	
ENSMUSG00000051910	Sox6	ENSMFAG00000026936	SOX6
ENSMUSG00000021240	Abcd4	ENSMFAG00000031273	ABCD4
ENSMUSG00000027428	Rbbp9	ENSMFAG00000030119	
ENSMUSG00000050097	Ces2b	ENSMFAG00000031745	
ENSMUSG00000028062	Lamtor2	ENSMFAG00000018166	LAMTOR2
ENSMUSG00000017723	Wfdc2	ENSMFAG00000030693	WFDC2
ENSMUSG00000028645	Slc2a1	ENSMFAG00000031833	SLC2A1
ENSMUSG00000048109	Rbm15	ENSMFAG00000029929	RBM15
ENSMUSG00000020335	Zfp354b	ENSMFAG00000029623	ZNF354B
ENSMUSG00000033004	Mycbp2	ENSMFAG00000031053	MYCBP2
ENSMUSG00000034566	Atp5h	ENSMFAG00000017328	
ENSMUSG00000036636	Clcn7	ENSMFAG00000031886	CLCN7
ENSMUSG00000022749	Tbc1d23	ENSMFAG00000030957	TBC1D23
ENSMUSG00000058546	Rpl23a	ENSMFAG00000031389	
ENSMUSG00000036948	Map11	ENSMFAG00000031413	MAP11
ENSMUSG00000026585	Kifap3	ENSMFAG00000030675	KIFAP3
ENSMUSG00000010751	Tnfrsf22	ENSMFAG00000029610	TNFRSF10D
ENSMUSG00000025964	Adam23	ENSMFAG00000030094	ADAM23
ENSMUSG00000038806	Sde2	ENSMFAG00000031291	SDE2
ENSMUSG00000024160	Spsb3	ENSMFAG00000031888	SPSB3
ENSMUSG00000021910	Nisch	ENSMFAG00000029268	NISCH
ENSMUSG00000030138	Bms1	ENSMFAG00000025215	
ENSMUSG00000030138	Bms1	ENSMFAG00000027100	
ENSMUSG00000035078	Mtmr9	ENSMFAG00000031184	
ENSMUSG00000032078	Zpr1	ENSMFAG00000030506	ZPR1
ENSMUSG00000111409	Gm49380	ENSMFAG00000030008	RNF26
ENSMUSG00000024013	Fgd2	ENSMFAG00000031103	FGD2
ENSMUSG00000027761	Aadac	ENSMFAG00000031479	AADAC
ENSMUSG00000002274	Metrn	ENSMFAG00000030206	METRN
ENSMUSG00000049643	2310022A10Rik	ENSMFAG00000028924	C19orf47
ENSMUSG00000049489	Ccnq	ENSMFAG00000028183	
ENSMUSG00000034484	Snx2	ENSMFAG00000029999	
ENSMUSG00000025580	Eif4a3	ENSMFAG00000018955	
ENSMUSG00000031201	Brcc3	ENSMFAG00000031106	
ENSMUSG00000067925	Rtl8a	ENSMFAG00000030340	
ENSMUSG00000020719	Ddx5	ENSMFAG00000026858	
ENSMUSG00000024800	Rpp30	ENSMFAG00000031109	RPP30
ENSMUSG00000047945	Marcksl1	ENSMFAG00000019212	MARCKSL1
ENSMUSG00000073982	Rhog	ENSMFAG00000031781	
ENSMUSG00000034333	Zbed4	ENSMFAG00000029961	ZBED4
ENSMUSG00000062997	Rpl35	ENSMFAG00000029998	
ENSMUSG00000045690	Wdr89	ENSMFAG00000021342	WDR89
ENSMUSG00000046761	Fam83h	ENSMFAG00000031846	FAM83H
ENSMUSG00000048490	Nrip1	ENSMFAG00000026185	NRIP1
ENSMUSG00000047260	Emc6	ENSMFAG00000027122	EMC6
ENSMUSG00000022557	Bop1	ENSMFAG00000031321	BOP1
ENSMUSG00000020460	Rps27a	ENSMFAG00000023352	
ENSMUSG00000033880	Lgals3bp	ENSMFAG00000031173	LGALS3BP
ENSMUSG00000020415	Pttg1	ENSMFAG00000031791	PTTG2
ENSMUSG00000001127	Araf	ENSMFAG00000031035	ARAF
ENSMUSG00000002948	Map2k7	ENSMFAG00000031756	MAP2K7
ENSMUSG00000033350	Chst2	ENSMFAG00000029983	CHST2
ENSMUSG00000037426	Depdc5	ENSMFAG00000031441	
ENSMUSG00000001642	Akr1b3	ENSMFAG00000030213	
ENSMUSG00000021619	Atg10	ENSMFAG00000031807	ATG10
ENSMUSG00000004895	Prcc	ENSMFAG00000031058	PRCC
ENSMUSG00000042129	Rassf4	ENSMFAG00000031803	RASSF4
ENSMUSG00000060636	Rpl35a	ENSMFAG00000024249	
ENSMUSG00000018412	Kansl1	ENSMFAG00000030723	KANSL1
ENSMUSG00000026669	Mcm10	ENSMFAG00000031145	MCM10
ENSMUSG00000031824	6430548M08Rik	ENSMFAG00000024723	KIAA0513
ENSMUSG00000038718	Pbx3	ENSMFAG00000027078	PBX3
ENSMUSG00000075000	Nrbf2	ENSMFAG00000031882	NRBF2
ENSMUSG00000021266	Wars	ENSMFAG00000031367	
ENSMUSG00000061887	Ssbp3	ENSMFAG00000031124	SSBP3
ENSMUSG00000059031	Olfr482	ENSMFAG00000017501	
ENSMUSG00000010721	Lmbr1	ENSMFAG00000031812	LMBR1
ENSMUSG00000024072	Yipf4	ENSMFAG00000031303	YIPF4
ENSMUSG00000060470	Adgrg3	ENSMFAG00000030742	ADGRG3
ENSMUSG00000056216	Cebpg	ENSMFAG00000030110	CEBPG
ENSMUSG00000050965	Prkca	ENSMFAG00000027291	PRKCA
ENSMUSG00000061119	Prcp	ENSMFAG00000031062	PRCP
ENSMUSG00000049232	Tigd2	ENSMFAG00000023556	TIGD2
ENSMUSG00000000948	Gm38393	ENSMFAG00000023168	
ENSMUSG00000043421	Hilpda	ENSMFAG00000023828	HILPDA
ENSMUSG00000034263	Ints14	ENSMFAG00000031689	
ENSMUSG00000036330	Slc18a1	ENSMFAG00000029619	SLC18A1
ENSMUSG00000074794	Arrdc3	ENSMFAG00000031762	ARRDC3
ENSMUSG00000075229	Ccdc58	ENSMFAG00000028753	CCDC58
ENSMUSG00000029729	Zkscan1	ENSMFAG00000030614	ZKSCAN1
ENSMUSG00000045671	Spred2	ENSMFAG00000031151	SPRED2
ENSMUSG00000002379	Ndufa11	ENSMFAG00000017334	
ENSMUSG00000025239	Limd1	ENSMFAG00000030180	LIMD1
ENSMUSG00000051007	Gatd1	ENSMFAG00000021199	GATD1
ENSMUSG00000001440	Kpnb1	ENSMFAG00000030197	KPNB1
ENSMUSG00000018566	Slc2a4	ENSMFAG00000030627	SLC2A4
ENSMUSG00000051579	Tceal8	ENSMFAG00000019988	
ENSMUSG00000050854	Tmem125	ENSMFAG00000018790	TMEM125
ENSMUSG00000079144	A130010J15Rik	ENSMFAG00000030051	C1orf74
ENSMUSG00000044017	Adgrd1	ENSMFAG00000031649	ADGRD1
ENSMUSG00000027706	Sec62	ENSMFAG00000017749	SEC62
ENSMUSG00000095440	Fignl2	ENSMFAG00000025968	FIGNL2
ENSMUSG00000047248	C2cd3	ENSMFAG00000027579	C2CD3
ENSMUSG00000029647	Pan3	ENSMFAG00000025538	PAN3
ENSMUSG00000022338	Eny2	ENSMFAG00000029750	
ENSMUSG00000006335	Tfpt	ENSMFAG00000031792	TFPT
ENSMUSG00000049751	Rpl36al	ENSMFAG00000024075	
ENSMUSG00000051184	Zfp524	ENSMFAG00000023561	ZNF524
ENSMUSG00000032407	U2surp	ENSMFAG00000031084	U2SURP
ENSMUSG00000070873	Lilra5	ENSMFAG00000016124	LILRA4
ENSMUSG00000028582	Cc2d1b	ENSMFAG00000030523	CC2D1B
ENSMUSG00000049521	Cdc42ep1	ENSMFAG00000031899	CDC42EP1
ENSMUSG00000011179	Odc1	ENSMFAG00000030175	
ENSMUSG00000032966	Fkbp1a	ENSMFAG00000029622	
ENSMUSG00000021270	Hsp90aa1	ENSMFAG00000030205	
ENSMUSG00000095538	Gm21983	ENSMFAG00000028649	MIA-RAB4B
ENSMUSG00000035173	Ccdc186	ENSMFAG00000031702	CCDC186
ENSMUSG00000008822	Acyp1	ENSMFAG00000030959	
ENSMUSG00000034867	Ankrd27	ENSMFAG00000030329	ANKRD27
ENSMUSG00000072620	Slfn2	ENSMFAG00000030738	SLFN12
ENSMUSG00000041396	Mettl18	ENSMFAG00000022253	METTL18
ENSMUSG00000025497	Cdhr5	ENSMFAG00000028350	CDHR5
ENSMUSG00000090215	Trim34b	ENSMFAG00000019545	
ENSMUSG00000063052	Lrrc40	ENSMFAG00000028307	
ENSMUSG00000090946	Ccdc71l	ENSMFAG00000030898	
ENSMUSG00000028936	Rpl22	ENSMFAG00000028034	
ENSMUSG00000041801	Phlda3	ENSMFAG00000024602	PHLDA3
ENSMUSG00000028648	Ndufs5	ENSMFAG00000027526	
ENSMUSG00000001785	Pwp1	ENSMFAG00000030396	
ENSMUSG00000029504	Ddx51	ENSMFAG00000031189	DDX51
ENSMUSG00000036893	Ehmt1	ENSMFAG00000030770	EHMT1
ENSMUSG00000032580	Rbm5	ENSMFAG00000031609	RBM5
ENSMUSG00000022369	Mtbp	ENSMFAG00000030284	MTBP
ENSMUSG00000025369	Smarcc2	ENSMFAG00000031029	SMARCC2
ENSMUSG00000029203	Ube2k	ENSMFAG00000030518	
ENSMUSG00000018042	Cyb5r3	ENSMFAG00000031130	CYB5R3
ENSMUSG00000049721	Gal3st1	ENSMFAG00000030355	GAL3ST1
ENSMUSG00000029455	Aldh2	ENSMFAG00000022844	
ENSMUSG00000063888	Rpl7l1	ENSMFAG00000027017	
ENSMUSG00000044952	Kctd21	ENSMFAG00000023980	KCTD21
ENSMUSG00000028518	Prkaa2	ENSMFAG00000031683	PRKAA2
ENSMUSG00000046798	Cldn12	ENSMFAG00000017561	CLDN12
ENSMUSG00000028273	Pdlim5	ENSMFAG00000030301	PDLIM5
ENSMUSG00000076498	Trbc2	ENSMFAG00000022958	
ENSMUSG00000036585	Fgf1	ENSMFAG00000031417	FGF1
ENSMUSG00000008333	Snrpb2	ENSMFAG00000031283	SNRPB2
ENSMUSG00000027506	Tpd52	ENSMFAG00000031459	
ENSMUSG00000026064	Ptp4a1	ENSMFAG00000029702	
ENSMUSG00000034435	Tmem30b	ENSMFAG00000020141	TMEM30B
ENSMUSG00000051343	Rab11fip5	ENSMFAG00000026056	
ENSMUSG00000055044	Pdlim1	ENSMFAG00000030298	PDLIM1
ENSMUSG00000063929	Cyp4a32	ENSMFAG00000031654	
ENSMUSG00000044477	Zfand3	ENSMFAG00000031438	ZFAND3
ENSMUSG00000000489	Pdgfb	ENSMFAG00000031697	PDGFB
ENSMUSG00000020044	Timp3	ENSMFAG00000030203	
ENSMUSG00000033953	Ppp3r1	ENSMFAG00000031560	
ENSMUSG00000032763	Ilvbl	ENSMFAG00000030909	ILVBL
ENSMUSG00000027099	Mtx2	ENSMFAG00000026822	MTX2
ENSMUSG00000029605	Oas1b	ENSMFAG00000015570	OAS1
ENSMUSG00000032097	Ddx6	ENSMFAG00000030873	
ENSMUSG00000062070	Pgk1	ENSMFAG00000030850	
ENSMUSG00000062070	Pgk1	ENSMFAG00000031271	
ENSMUSG00000016018	Mtrex	ENSMFAG00000031610	MTREX
ENSMUSG00000008036	Ap2s1	ENSMFAG00000022670	AP2S1
ENSMUSG00000030881	Arfip2	ENSMFAG00000025246	
ENSMUSG00000014633	Cmc2	ENSMFAG00000030783	CMC2
ENSMUSG00000058057	Mettl7a3	ENSMFAG00000031547	METTL7A
ENSMUSG00000020679	Hnf1b	ENSMFAG00000030603	HNF1B
ENSMUSG00000005362	Crbn	ENSMFAG00000031028	CRBN
ENSMUSG00000037993	Dhx38	ENSMFAG00000031852	DHX38
ENSMUSG00000022270	Retreg1	ENSMFAG00000015961	RETREG1
ENSMUSG00000020831	0610010K14Rik	ENSMFAG00000031742	
ENSMUSG00000057322	Rpl38	ENSMFAG00000027351	
ENSMUSG00000069117	Gm10260	ENSMFAG00000028058	
ENSMUSG00000033405	Nudt15	ENSMFAG00000030049	
ENSMUSG00000025044	Msr1	ENSMFAG00000031529	MSR1
ENSMUSG00000039428	Tmem135	ENSMFAG00000016730	TMEM135
ENSMUSG00000055762	Eef1d	ENSMFAG00000030919	
ENSMUSG00000019590	Cyb561	ENSMFAG00000030469	CYB561
ENSMUSG00000028988	Ctnnbip1	ENSMFAG00000030824	CTNNBIP1
ENSMUSG00000021482	Prxl2c	ENSMFAG00000030178	
ENSMUSG00000026788	Zbtb43	ENSMFAG00000030607	ZBTB43
ENSMUSG00000031483	Erlin2	ENSMFAG00000030735	ERLIN2
ENSMUSG00000066415	Msl2	ENSMFAG00000030982	MSL2
ENSMUSG00000044827	Tlr1	ENSMFAG00000029809	
ENSMUSG00000040420	Cdh18	ENSMFAG00000030294	CDH18
ENSMUSG00000079316	Rab9	ENSMFAG00000023380	
ENSMUSG00000022032	Scara5	ENSMFAG00000019218	SCARA5
ENSMUSG00000055730	Ces2a	ENSMFAG00000031745	
ENSMUSG00000021185	Dglucy	ENSMFAG00000031233	DGLUCY
ENSMUSG00000078931	Pdf	ENSMFAG00000030620	PDF
ENSMUSG00000076609	Igkc	ENSMFAG00000030705	IGKC
